City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,Lisala,2.15,21.5167,103.42,24,100,2.53,CD,1714138084
314,Menongue,-14.6585,17.691,86.29,18,0,9.37,AO,1714138086
315,Brezina,33.0989,1.2608,75.11,24,0,10.22,DZ,1714138088
316,Flying Fish Cove,-10.4217,105.6791,82.78,81,100,14.99,CX,1714138090
317,Vilhena,-12.7406,-60.1458,79.47,71,0,4.14,BR,1714138092
318,Paoua,7.2427,16.4406,101.39,20,99,4.68,CF,1714138094
319,Galle,6.0367,80.217,83.52,77,46,5.5,LK,1714137934
320,Altay,47.8667,88.1167,33.49,50,29,2.3,CN,1714138098
321,Fu’an,27.0892,119.6453,70.59,99,100,2.46,CN,1714138100
322,Vyazemskiy,47.5378,134.7525,50.74,42,100,4.38,RU,1714138102
323,Ayoun El Atrous,16.6614,-9.6149,106.61,7,100,15.68,MR,1714138104
324,Nikolayevsk-on-Amur,53.1406,140.73,38.46,88,100,7.7,RU,1714138106
325,Levuka,50.1834,-105.4011,48.31,50,90,10.58,CA,1714138108
326,Naryan-Mar,67.6713,53.087,34.03,100,100,10.63,RU,1714138110
327,Chaupimarca,-10.4333,-76.5333,41.04,65,8,2.93,PE,1714138112
328,Chamdo,31.1667,97.2333,41.13,46,95,6.96,CN,1714138114
329,Adelaide,-34.9333,138.6,52.43,77,3,5.93,AU,1714138116
330,Dhalie,13.6957,44.7314,79.47,30,99,10.83,YE,1714138118
331,Karasburg,-28.0167,18.75,87.31,13,5,13.71,NA,1714138120
332,Hermanus,-34.4187,19.2345,68.88,68,89,23.24,ZA,1714137937
333,Nazyvayevsk,55.5698,71.3529,53.85,33,5,3.18,RU,1714138124
334,Maiurno,13.4167,33.6667,107.55,8,18,9.6,SD,1714138126
335,Trincomalee,8.5711,81.2335,84.96,69,94,12.06,LK,1714138130
336,Grand-Lahou,5.1367,-5.0242,88.11,68,62,9.51,CI,1714138132
337,Coronel Suárez,-37.4547,-61.9334,54.57,83,38,4.09,AR,1714138134
338,Port Hueneme,34.1478,-119.1951,55.36,86,15,2.42,US,1714138136
339,Pradera,3.4211,-76.2447,69.28,85,100,1.34,CO,1714138140
340,Sydney,-33.8679,151.2073,61.48,70,4,4.63,AU,1714138040
341,Mahina,-17.5065,-149.489,81.32,83,21,14.56,PF,1714138144
342,Karratha,-20.7377,116.8463,81.21,69,100,5.99,AU,1714138146
343,Guercif,34.2257,-3.3536,73.9,25,0,18.9,MA,1714138148
344,Vernal,40.4555,-109.5287,46.81,54,98,2.8,US,1714138150
345,Novyy Urgal,51.0736,132.5642,34.02,79,18,5.23,RU,1714138152
346,Sievi,63.9,24.5,34.32,99,100,4.36,FI,1714138156
347,Yuzhno-Kurilsk,44.0306,145.8556,45.77,88,2,4.85,RU,1714138158
348,Pangody,65.85,74.4859,30.09,93,100,10.51,RU,1714138160
349,’Aïn el Bell,34.3438,3.2247,71.01,25,1,13.35,DZ,1714138162
350,Villamontes,-21.25,-63.5,74.93,68,5,3.22,BO,1714138164
